Amount,amount_zscore,is_night,fraud_score,actual,predicted,risk_level
23.0,-0.25859655785018537,0,0.0,0,0,Low
11.85,-0.2484300168154633,1,0.0,0,0,Low
76.07,0.08565467855168264,1,0.04,0,0,Low
0.99,-0.37485992807482504,0,0.0,0,0,Low
1.5,-0.4034469333027685,0,0.0,0,0,Low
8.99,-0.3231645235740443,0,0.0,0,0,Low
52.0,-0.11310571428139685,0,0.0,0,0,Low
3.59,-0.3627444868757377,0,0.0,0,0,Low
27.92,-0.27411769282898296,0,0.0,0,0,Low
95.25,-0.03004588061604395,0,0.0,0,0,Low
1222.48,3.9711935077730693,0,0.0,0,0,Low
301.82,1.183531584244655,0,0.02,0,0,Low
56.18,-0.16787390913381636,0,0.0,0,0,Low
4.56,-0.3667145340244531,0,0.0,0,0,Low
1.79,-0.3697549305550275,0,0.0,0,0,Low
1.98,-0.35635070396446245,0,0.0,0,0,Low
264.0,0.5601887076751791,0,0.0,0,0,Low
4.0,-0.3486837326590643,1,0.0,0,0,Low
69.0,-0.02781797839624496,0,0.0,0,0,Low
1.0,-0.37482281662829403,0,0.0,0,0,Low
187.45,0.2663078947529855,0,0.0,0,0,Low
70.0,-0.039427691320691606,0,0.0,0,0,Low
11.5,-0.2656352377371724,1,0.0,0,0,Low
0.89,-0.3732022204379752,0,0.0,0,0,Low
15.0,-0.31095210920928484,0,0.0,0,0,Low
0.89,-0.37997595726094346,0,0.0,0,0,Low
1.0,-0.3227599724596903,1,0.0,0,0,Low
11.99,-0.308962163920513,0,0.0,0,0,Low
68.78,-0.028921702037111627,0,0.0,0,0,Low
25.0,-0.19637826510718506,1,0.0,0,0,Low
1.0,-0.37160582522240576,0,0.0,0,0,Low
1.5,-0.4034469333027685,0,0.0,0,0,Low
10.0,-0.34081352980927343,0,0.0,0,0,Low
0.99,-0.40534905042318115,0,0.0,0,0,Low
5.2,-0.3478978342475797,0,0.0,0,0,Low
52.88,-0.07401863843773449,0,0.0,0,0,Low
93.39,0.08465419934852514,0,0.03,0,0,Low
57.1,-0.1420810052174717,0,0.0,0,0,Low
42.87,-0.15891024537736373,0,0.0,0,0,Low
13.32,-0.3271249756697447,0,0.0,0,0,Low
61.18,-0.16212004256666374,0,0.0,0,0,Low
29.68,-0.26773767813278854,0,0.0,0,0,Low
1.78,-0.3635462020166961,0,0.0,0,0,Low
20.13,-0.2856262862316761,0,0.0,0,0,Low
129.0,0.08294527729676393,0,0.0,0,0,Low
3.7,-0.3541195217885993,0,0.0,0,0,Low
14.75,-0.3540291845861649,0,0.0,0,0,Low
151.29,0.14259129451533384,0,0.0,0,0,Low
29.9,-0.27272834328468093,0,0.0,0,0,Low
598.75,1.843513899761516,0,0.02,0,0,Low
41.59,-0.1971757277845231,0,0.0,0,0,Low
130.0,0.25678076455777377,0,0.0,0,0,Low
50.0,-0.16618015921233792,0,0.0,0,0,Low
191.78,0.633455691184519,0,0.01,0,0,Low
80.22,0.02847192728795528,0,0.0,0,0,Low
50.0,-0.16618015921233792,0,0.0,0,0,Low
13.74,-0.3006774541226197,0,0.0,0,0,Low
1.0,-0.3727808850078371,0,0.0,0,0,Low
1352.14,4.639453169959624,0,0.0,0,0,Low
33.0,-0.2557026504104217,0,0.01,0,0,Low
